time_s,is_control_reporting_time,reference_doc,uniform_full_power_doc,target_full_power_doc,target_full_power_outside_doc,feasibility_deficit,reference_minus_target_full_power,target_full_power_minus_reference,uniform_full_power_minus_reference,uniform_o2_mean,uniform_tempo_mean,uniform_dose_mean,uniform_reaction_progress_mean,o2_target_mean,tempo_target_mean,dose_target_mean,reaction_progress_target_mean,mpc_target_doc,mpc_tracking_error,target_region_control_mean
12.05,0,1,0.999931633472,0.999085903168,0.000128935673274,0.000914096832275,0.000914096832275,-0.000914096832275,-6.83665275574e-05,0,0,333.788146973,9.59976100922,0.000244534341618,0,326.649169922,9.41387748718,0.999906551838,-9.34481620789e-05,0.943472848127
12.1,0,1,0.999935090542,0.999102711678,0.000129929379909,0.000897288322449,0.000897288322449,-0.000897288322449,-6.49094581604e-05,0,0,335.288146973,9.64290428162,0.000243328977376,0,328.131958008,9.45665931702,0.99990978241,-9.0217590332e-05,0.943472848127
12.15,0,1,0.999937832355,0.999119281769,0.00013092518202,0.000880718231201,0.000880718231201,-0.000880718231201,-6.21676445007e-05,0,0,336.788146973,9.68603801727,0.000242131078267,0,329.614746094,9.4994430542,0.999913012981,-8.69870185852e-05,0.943472848127
12.2,0,1,0.999940276146,0.999135136604,0.000131922861328,0.000864863395691,0.000864863395691,-0.000864863395691,-5.97238540649e-05,0,0,338.288146973,9.72918510437,0.000240940542426,0,331.097595215,9.54222774506,0.999916243553,-8.37564468383e-05,0.943472848127
12.25,0,1,0.99994289875,0.999150574207,0.000132922185003,0.000849425792694,0.000849425792694,-0.000849425792694,-5.71012496948e-05,0,0,339.788146973,9.77231693268,0.000239757326199,0,332.580474854,9.58501434326,0.999919474125,-8.05258750916e-05,0.943472848127
12.3,0,1,0.999945521355,0.999165832996,0.000133922905661,0.000834167003632,0.000834167003632,-0.000834167003632,-5.44786453247e-05,0,0,341.288146973,9.81546020508,0.000238581342273,0,334.06338501,9.62779998779,0.999922704697,-7.72953033448e-05,0.943472848127
12.35,0,1,0.999947607517,0.999180436134,0.000134924819577,0.000819563865662,0.000819563865662,-0.000819563865662,-5.23924827576e-05,0,0,342.788146973,9.85860538483,0.00023741251789,0,335.546325684,9.67058944702,0.999925935268,-7.40647315979e-05,0.943472848127
12.4,0,1,0.999950349331,0.999194860458,0.00013592770847,0.000805139541626,0.000805139541626,-0.000805139541626,-4.96506690979e-05,0,0,344.288146973,9.90174007416,0.000236250736634,0,337.029296875,9.71337795258,0.99992916584,-7.08341598511e-05,0.943472848127
12.45,0,1,0.999951720238,0.999208688736,0.000136931354064,0.000791311264038,0.000791311264038,-0.000791311264038,-4.82797622681e-05,0,0,345.788146973,9.94488525391,0.000235095998505,0,338.512298584,9.75616931915,0.999932396412,-6.76035881042e-05,0.943472848127
12.5,1,1,0.999954164028,0.999222278595,0.00013793555263,0.000777721405029,0.000777721405029,-0.000777721405029,-4.58359718323e-05,0,0,347.288146973,9.98802852631,0.00023394812888,0,339.995361328,9.79895973206,0.999935626984,-6.43730163574e-05,0.943472848127
12.55,0,1,0.99995559454,0.999235570431,0.000138940129546,0.000764429569244,0.000764429569244,-0.000764429569244,-4.44054603577e-05,0,0,348.788146973,10.0311613083,0.000232807156863,0,341.478424072,9.84175491333,0.99993776083,-6.22391700744e-05,0.942342700601
12.6,0,1,0.999957978725,0.999248504639,0.000139944837429,0.000751495361328,0.000751495361328,-0.000751495361328,-4.20212745667e-05,0,0,350.288146973,10.0743074417,0.000231672966038,0,342.961547852,9.88454723358,0.999939894676,-6.01053237915e-05,0.942342700601
12.65,0,1,0.999959409237,0.9992608428,0.000140949516208,0.00073915719986,0.00073915719986,-0.00073915719986,-4.0590763092e-05,0,0,351.788146973,10.1174402237,0.000230545396334,0,344.444702148,9.92734241486,0.999942028522,-5.79714775085e-05,0.942342700601
12.7,0,1,0.999961614609,0.999273002148,0.000141958720633,0.000726997852325,0.000726997852325,-0.000726997852325,-3.83853912354e-05,0,0,353.288146973,10.1605844498,0.00022942450596,0,345.927886963,9.9701385498,0.999944162369,-5.58376312256e-05,0.942342700601
12.75,0,1,0.999962866306,0.999284923077,0.000142973629409,0.00071507692337,0.00071507692337,-0.00071507692337,-3.71336936951e-05,0,0,354.788146973,10.2037296295,0.000228310149396,0,347.411102295,10.0129375458,0.999946296215,-5.37037849426e-05,0.942342700601
12.8,0,1,0.999964594841,0.999296545982,0.000143992525409,0.000703454017639,0.000703454017639,-0.000703454017639,-3.54051589966e-05,0,0,356.288146973,10.2468633652,0.00022720231209,0,348.894378662,10.0557355881,0.999948430061,-5.15699386596e-05,0.942342700601
12.85,0,1,0.999965786934,0.999307751656,0.000145014899317,0.000692248344421,0.000692248344421,-0.000692248344421,-3.42130661011e-05,0,0,357.788146973,10.2900085449,0.000226100921282,0,350.377655029,10.098534584,0.999950563908,-4.94360923767e-05,0.942342700601
12.9,0,1,0.999967038631,0.99931883812,0.000146040329128,0.000681161880493,0.000681161880493,-0.000681161880493,-3.29613685608e-05,0,0,359.288146973,10.3331518173,0.000225005831453,0,351.860961914,10.1413354874,0.999952697754,-4.73022460937e-05,0.942342700601
12.95,0,1,0.999969124794,0.999329507351,0.000147068567458,0.000670492649078,0.000670492649078,-0.000670492649078,-3.08752059937e-05,0,0,360.788146973,10.3762836456,0.000223917042604,0,353.344299316,10.1841373444,0.9999548316,-4.51683998108e-05,0.942342700601
13,1,1,0.999969780445,0.999339938164,0.000148099308717,0.000660061836243,0.000660061836243,-0.000660061836243,-3.02195549011e-05,0,0,362.288146973,10.4194316864,0.000222834496526,0,354.827667236,10.2269392014,0.999956965446,-4.30345535278e-05,0.942342700601
13.05,0,1,0.999970853329,0.999350070953,0.000149132261868,0.000649929046631,0.000649929046631,-0.000649929046631,-2.91466712952e-05,0,0,363.788146973,10.462562561,0.000221758105909,0,356.311096191,10.269744873,0.999958389997,-4.16100025177e-05,0.941179343373
13.1,0,1,0.999972939491,0.999359965324,0.000150167237734,0.000640034675598,0.000640034675598,-0.000640034675598,-2.7060508728e-05,0,0,365.288146973,10.5057086945,0.000220687812543,0,357.794555664,10.3125486374,0.999959814548,-4.01854515075e-05,0.941179343373
13.15,0,1,0.999973475933,0.999369502068,0.000151203988935,0.000630497932434,0.000630497932434,-0.000630497932434,-2.6524066925e-05,0,0,366.788146973,10.5488519669,0.000219623558223,0,359.278015137,10.3553562164,0.9999612391,-3.87609004975e-05,0.941179343373
13.2,0,1,0.999974668026,0.999378979206,0.00015224229719,0.000621020793915,0.000621020793915,-0.000621020793915,-2.53319740295e-05,0,0,368.288146973,10.5919866562,0.000218565270188,0,360.761535645,10.3981618881,0.999962663651,-3.73363494873e-05,0.941179343373
13.25,0,1,0.999976038933,0.999388337135,0.000153281944222,0.000611662864685,0.000611662864685,-0.000611662864685,-2.39610671997e-05,0,0,369.788146973,10.6351308823,0.000217512919335,0,362.245056152,10.4409704208,0.999964088202,-3.59117984772e-05,0.941179343373
13.3,0,1,0.999977111816,0.999397158623,0.000154322711751,0.000602841377258,0.000602841377258,-0.000602841377258,-2.28881835938e-05,0,0,371.288146973,10.678276062,0.000216466403799,0,363.728607178,10.4837799072,0.999965512753,-3.4487247467e-05,0.941179343373
13.35,0,1,0.999977469444,0.999405801296,0.000155364439706,0.000594198703766,0.000594198703766,-0.000594198703766,-2.25305557251e-05,0,0,372.788208008,10.7214069366,0.000215425694478,0,365.212219238,10.5265903473,0.999966937304,-3.30626964569e-05,0.941179343373
13.4,0,1,0.999978482723,0.99941432476,0.000156406895258,0.000585675239563,0.000585675239563,-0.000585675239563,-2.15172767639e-05,0,0,374.28817749,10.7645559311,0.000214390747715,0,366.695861816,10.5694007874,0.999968361855,-3.16381454468e-05,0.941179343373
13.45,0,1,0.99997985363,0.999422609806,0.000157449903782,0.000577390193939,0.000577390193939,-0.000577390193939,-2.01463699341e-05,0,0,375.78817749,10.8076858521,0.000213361461647,0,368.179534912,10.6122140884,0.999969786406,-3.02135944367e-05,0.941179343373
13.5,1,1,0.999980926514,0.999430656433,0.000158493261551,0.000569343566895,0.000569343566895,-0.000569343566895,-1.90734863281e-05,0,0,377.28817749,10.8508310318,0.000212337836274,0,369.663208008,10.6550264359,0.999971210957,-2.87890434265e-05,0.941179343373
13.55,0,1,0.999981105328,0.999438345432,0.000159536808496,0.000561654567719,0.000561654567719,-0.000561654567719,-1.88946723938e-05,0,0,378.78817749,10.8939762115,0.000211319755181,0,371.146942139,10.6978416443,0.999972140789,-2.7859210968e-05,0.939973969125
13.6,0,1,0.999982118607,0.999446213245,0.000160582581884,0.000553786754608,0.000553786754608,-0.000553786754608,-1.78813934326e-05,0,0,380.28817749,10.9371099472,0.000210307232919,0,372.630645752,10.740655899,0.999973070621,-2.69293785096e-05,0.939973969125
13.65,0,1,0.999983370304,0.999453544617,0.000161634539836,0.000546455383301,0.000546455383301,-0.000546455383301,-1.66296958923e-05,0,0,381.78817749,10.980255127,0.000209300153074,0,374.114471436,10.7834730148,0.999974000454,-2.5999546051e-05,0.939973969125
13.7,0,1,0.999983668327,0.999460935593,0.000162690514117,0.000539064407349,0.000539064407349,-0.000539064407349,-1.63316726685e-05,0,0,383.28817749,11.0234003067,0.000208298486541,0,375.598266602,10.8262891769,0.999974930286,-2.50697135925e-05,0.939973969125
13.75,0,1,0.999984741211,0.999468147755,0.000163749849889,0.000531852245331,0.000531852245331,-0.000531852245331,-1.52587890625e-05,0,0,384.78817749,11.0665302277,0.000207302189665,0,377.082122803,10.8691091537,0.999975860119,-2.4139881134e-05,0.939973969125
13.8,0,1,0.999984920025,0.999475061893,0.000164812270668,0.000524938106537,0.000524938106537,-0.000524938106537,-1.50799751282e-05,0,0,386.28817749,11.1096782684,0.000206311233342,0,378.565979004,10.9119272232,0.999976789951,-2.32100486756e-05,0.939973969125
13.85,0,1,0.999985098839,0.999481856823,0.000165877412655,0.000518143177032,0.000518143177032,-0.000518143177032,-1.49011611938e-05,0,0,387.78817749,11.1528091431,0.00020532553026,0,380.049835205,10.9547491074,0.999977719784,-2.22802162171e-05,0.939973969125
13.9,0,1,0.999986112118,0.999488532543,0.000166945028468,0.000511467456818,0.000511467456818,-0.000511467456818,-1.38878822327e-05,0,0,389.28817749,11.1959543228,0.00020434500766,0,381.533752441,10.9975690842,0.999978649616,-2.13503837585e-05,0.939973969125
13.95,0,1,0.999987185001,0.999494850636,0.000168014856172,0.000505149364471,0.000505149364471,-0.000505149364471,-1.28149986267e-05,0,0,390.788238525,11.2390995026,0.000203369665542,0,383.017700195,11.0403928757,0.999979579449,-2.04205513e-05,0.939973969125
14,1,1,0.999987483025,0.999501347542,0.000169086706592,0.000498652458191,0.000498652458191,-0.000498652458191,-1.25169754028e-05,0,0,392.288238525,11.2822332382,0.000202399445698,0,384.501739502,11.0832147598,0.999980509281,-1.94907188416e-05,0.939973969125
14.05,0,1,0.999988377094,0.999507308006,0.000170160317793,0.000492691993713,0.000492691993713,-0.000492691993713,-1.16229057312e-05,0,0,393.788238525,11.3253774643,0.000201434304472,0,385.985717773,11.126039505,0.999981158972,-1.88410282135e-05,0.938813690026
14.1,0,1,0.999988555908,0.99951338768,0.00017123548605,0.000486612319946,0.000486612319946,-0.000486612319946,-1.14440917969e-05,0,0,395.288238525,11.368522644,0.000200474169105,0,387.469726562,11.1688623428,0.999981808662,-1.81913375854e-05,0.938813690026
14.15,0,1,0.999988734722,0.999519169331,0.000172312022187,0.000480830669403,0.000480830669403,-0.000480830669403,-1.12652778625e-05,0,0,396.788238525,11.4116544724,0.000199519010494,0,388.953796387,11.211689949,0.999982458353,-1.75416469574e-05,0.938813690026
14.2,0,1,0.999988913536,0.999524950981,0.000173389737029,0.00047504901886,0.00047504901886,-0.00047504901886,-1.10864639282e-05,0,0,398.288238525,11.4548015594,0.000198568784981,0,390.437927246,11.2545156479,0.999983108044,-1.68919563294e-05,0.938813690026
14.25,0,1,0.999989748001,0.999530494213,0.000174468441401,0.000469505786896,0.000469505786896,-0.000469505786896,-1.02519989014e-05,0,0,399.788238525,11.4979333878,0.000197623448912,0,391.922027588,11.2973451614,0.999983757734,-1.62422657013e-05,0.938813690026
14.3,0,1,0.999989926815,0.99953597784,0.000175547917024,0.000464022159576,0.000464022159576,-0.000464022159576,-1.0073184967e-05,0,0,401.288238525,11.5410766602,0.000196682944079,0,393.406219482,11.3401727676,0.999984407425,-1.55925750732e-05,0.938813690026
14.35,0,1,0.999990999699,0.999541163445,0.00017662801838,0.000458836555481,0.000458836555481,-0.000458836555481,-9.00030136108e-06,0,0,402.788238525,11.5842227936,0.000195747226826,0,394.890350342,11.3830032349,0.999985057116,-1.49428844451e-05,0.938813690026
14.4,0,1,0.999991357327,0.999546468258,0.000177708541742,0.000453531742096,0.000453531742096,-0.000453531742096,-8.64267349243e-06,0,0,404.288238525,11.6273555756,0.000194816268049,0,396.374542236,11.4258327484,0.999985706806,-1.42931938172e-05,0.938813690026
14.45,0,1,0.999992012978,0.999551594257,0.000178789312486,0.000448405742645,0.000448405742645,-0.000448405742645,-7.9870223999e-06,0,0,405.788238525,11.6704998016,0.000193890067749,0,397.858795166,11.468665123,0.999986356497,-1.36435031891e-05,0.938813690026
14.5,1,1,0.999992191792,0.999556481838,0.000179875351023,0.000443518161774,0.000443518161774,-0.000443518161774,-7.80820846558e-06,0,0,407.288238525,11.7136468887,0.000192968480405,0,399.343048096,11.5114965439,0.999987006187,-1.2993812561e-05,0.938813690026
14.55,0,1,0.999992370605,0.999561429024,0.000180966017069,0.000438570976257,0.000438570976257,-0.000438570976257,-7.62939453125e-06,0,0,408.788238525,11.7567768097,0.000192051506019,0,400.827331543,11.5543298721,0.99998742938,-1.25706195832e-05,0.93766732114
14.6,0,1,0.999992549419,0.999566018581,0.000182060233783,0.00043398141861,0.00043398141861,-0.00043398141861,-7.45058059692e-06,0,0,410.288238525,11.7999248505,0.000191139159142,0,402.311645508,11.5971641541,0.999987852573,-1.21474266053e-05,0.93766732114
