event_id,condition_id,trajectory,absolute_time_s,physics_step,row,column,region_n1,inside_target,target_interior_n1,target_boundary_n1,target_interior_n2,target_boundary_n2,target_interior_n4,target_boundary_n4,signed_distance_to_target_boundary_px,local_control,scattered_control,local_intensity_mw_cm2,energy_mj_cm2,o2_before_mj_cm2,o2_diffused_mj_cm2,o2_after_mj_cm2,o2_diffusion_change_mj_cm2,tempo_before_mj_cm2,tempo_diffused_mj_cm2,tempo_after_mj_cm2,tempo_diffusion_change_mj_cm2,inhibitor_sum_before_diffusion_mj_cm2,inhibitor_sum_after_diffusion_mj_cm2,inhibition_sum_exceeds_energy,diffusion_increased_inhibitor_sum,diffusion_created_negative_dose_increment,dose_before_mj_cm2,dose_after_mj_cm2,delta_dose_mj_cm2,dose_equation_increment_mj_cm2,effective_b_per_s,curing_gate,reaction_progress_before,reaction_progress_after,delta_reaction_progress,expected_delta_reaction_progress,reaction_equation_residual,doc_before,doc_after,delta_doc,doc_change_class
11,30mW_5mM,full_power_Lshape,15.200000000000001,304,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03400281444191933,0.0,0.03400281444191933,0.0,0.33982470631599426,0.0,0.33982470631599426,0.0,0.3738275207579136,True,True,True,-0.09842947125434875,-0.11376559734344482,-0.01533612608909607,-0.01533612608909607,0.43097180128097534,True,-0.005916505120694637,-0.006838345900177956,-0.0009218407794833183,-0.0009218405466526747,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
12,30mW_5mM,full_power_Lshape,15.25,305,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.033871281892061234,0.0,0.033871281892061234,0.0,0.3366740643978119,0.0,0.3366740643978119,0.0,0.3705453462898731,True,True,True,-0.11376559734344482,-0.12581954896450043,-0.012053951621055603,-0.012053966522216797,0.43097180128097534,True,-0.006838345900177956,-0.007562898099422455,-0.0007245521992444992,-0.0007245519664138556,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
13,30mW_5mM,full_power_Lshape,15.25,305,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.033871281892061234,0.0,0.033871281892061234,0.0,0.3366740942001343,0.0,0.3366740942001343,0.0,0.3705453760921955,True,True,True,-0.11376559734344482,-0.12581957876682281,-0.01205398142337799,-0.012053996324539185,0.43097180128097534,True,-0.006838345900177956,-0.007562899962067604,-0.0007245540618896484,-0.0007245538290590048,-2.3283064365386963e-10,0.0,0.0,0.0,unchanged_within_tolerance
14,30mW_5mM,full_power_Lshape,15.3,306,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03374077007174492,0.0,0.03374077007174492,0.0,0.33360135555267334,0.0,0.33360135555267334,0.0,0.36734212562441826,True,True,True,-0.12581954896450043,-0.13467028737068176,-0.008850738406181335,-0.008850723505020142,0.43097180128097534,True,-0.007562898099422455,-0.008094907738268375,-0.0005320096388459206,-0.0005320097552612424,1.1641532182693481e-10,0.0,0.0,0.0,unchanged_within_tolerance
15,30mW_5mM,full_power_Lshape,15.3,306,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03374077007174492,0.0,0.03374077007174492,0.0,0.33360135555267334,0.0,0.33360135555267334,0.0,0.36734212562441826,True,True,True,-0.12581957876682281,-0.13467031717300415,-0.008850738406181335,-0.008850723505020142,0.43097180128097534,True,-0.007562899962067604,-0.008094909600913525,-0.0005320096388459206,-0.0005320097552612424,1.1641532182693481e-10,0.0,0.0,0.0,unchanged_within_tolerance
16,30mW_5mM,full_power_Lshape,15.350000000000001,307,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03361125662922859,0.0,0.03361125662922859,0.0,0.3305923044681549,0.0,0.3305923044681549,0.0,0.3642035610973835,True,True,True,-0.13467028737068176,-0.14038245379924774,-0.005712166428565979,-0.005712181329727173,0.43097180128097534,True,-0.008094907738268375,-0.008438261225819588,-0.0003433534875512123,-0.0003433531092014164,-3.7834979593753815e-10,0.0,0.0,0.0,unchanged_within_tolerance
17,30mW_5mM,full_power_Lshape,15.350000000000001,307,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.03361126035451889,0.0,0.03361126035451889,0.0,0.3305922746658325,0.0,0.3305922746658325,0.0,0.3642035350203514,True,True,True,-0.13467031717300415,-0.14038246870040894,-0.005712151527404785,-0.005712151527404785,0.43097180128097534,True,-0.008094909600913525,-0.008438262157142162,-0.0003433525562286377,-0.00034335217787884176,-3.7834979593753815e-10,0.0,0.0,0.0,unchanged_within_tolerance
18,30mW_5mM,full_power_Lshape,15.4,308,149,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.033482737839221954,0.0,0.033482737839221954,0.0,0.327637642621994,0.0,0.327637642621994,0.0,0.361120380461216,True,True,True,-0.14038245379924774,-0.1430114507675171,-0.002628996968269348,-0.0026289820671081543,0.43097180128097534,True,-0.008438261225819588,-0.008596288040280342,-0.0001580268144607544,-0.00015802659618202597,-2.1827872842550278e-10,0.0,0.0,0.0,unchanged_within_tolerance
19,30mW_5mM,full_power_Lshape,15.4,308,150,151,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.033482737839221954,0.0,0.033482737839221954,0.0,0.327637642621994,0.0,0.327637642621994,0.0,0.361120380461216,True,True,True,-0.14038246870040894,-0.1430114507675171,-0.0026289820671081543,-0.0026289820671081543,0.43097180128097534,True,-0.008438262157142162,-0.008596288040280342,-0.00015802588313817978,-0.00015802570851519704,-1.7462298274040222e-10,0.0,0.0,0.0,unchanged_within_tolerance
20,30mW_5mM,full_power_Lshape,19.700000000000003,394,148,150,outside_target,False,False,False,False,False,False,False,-1.0,0.0,0.2389942705631256,7.169827938079834,0.3584913909435272,0.0,0.05025689676403999,0.0,0.05025689676403999,0.0018668770790100098,0.3563416600227356,0.0,0.3544747829437256,0.0018668770790100098,0.4065985567867756,True,True,True,0.0,-0.04810717701911926,-0.04810717701911926,-0.04810717701911926,0.43097180128097534,True,0.0,-0.002891678363084793,-0.002891678363084793,-0.002891678363084793,0.0,0.0,0.0,0.0,unchanged_within_tolerance
