condition_id,trajectory,region,pixel_count,t10_s,t30_s,t50_s,t90_s,t95_s,t99_s,delta_t10_s,delta_t30_s,delta_t50_s,delta_t90_s,delta_t95_s,delta_t99_s,full_duration_rmse,full_duration_mae,full_duration_sample_count,pre_saturation_rmse,pre_saturation_mae,pre_saturation_sample_count,rise_region_rmse,rise_region_mae,rise_region_sample_count,maximum_absolute_error
30mW_0mM,closed_loop_MPC_native_replay,boundary_N2,1384,1.3833199172710975,1.6922829848939551,2.09700235401623,4.0729563886990885,4.938538545637206,6.996644150311881,0.5103758392439307,0.3681380193183914,0.38309036619764325,0.6500021808196643,0.793983049794238,1.3276092837540023,0.05735764728724627,0.025925587668179793,401,0.10544076880135365,0.08281698513770076,118,0.11530244323516285,0.09402215868915424,96,0.23706664745383088
30mW_0mM,closed_loop_MPC_native_replay,interior_N4,20145,1.058053040673306,1.3514429098465448,1.7444768643903026,3.6325486245207514,4.45166551624964,6.358363245412844,0.18510896264613919,0.02729794427098109,0.030564876571715915,0.20959441664132727,0.3071100204066717,0.6893283788549649,0.016395016696207822,0.007415576863039437,401,0.02984550007286874,0.02217917758182036,118,0.027116526764337394,0.01988280938656083,96,0.11304333790627738
30mW_0mM,closed_loop_MPC_native_replay,boundary_N4,2736,1.248302473645392,1.5731559472061003,1.971666404811344,3.9046219820243206,4.748411917765132,6.73749513130717,0.37535839561822526,0.2490109816305366,0.25775441699275725,0.4816677741448965,0.6038564219221643,1.068460264749291,0.04081008241263184,0.01891604502721982,401,0.07494997160741963,0.0600199481633985,118,0.0808690075826454,0.06617316806103904,96,0.1605550755682649
30mW_5mM,full_power_Lshape,full_target,22881,4.209009698433717,4.740232203087687,5.447026310330435,9.613137962128045,12.90258990485405,,0.2358187331942836,-0.1729951424599907,-0.25036764690847146,2.0126439267560308,4.548697453782724,,0.05498846356926729,0.04817893565153189,401,0.06005388711113207,0.04968402062942319,195,0.07319355815407434,0.06634143941565086,110,0.10654842796815234
30mW_5mM,full_power_Lshape,interior_N1,22185,4.201680459769315,4.713210073449383,5.383687680429041,8.805844881730964,10.541831323818895,14.874435931307792,0.2284894945298812,-0.2000172720982949,-0.3137062768098655,1.2053508463589502,2.1879388727475693,5.3920885830650604,0.039666220654181863,0.03025215179072806,401,0.051006641160774066,0.04381617946752842,195,0.06149718490040735,0.05721472281693102,110,0.09652935306555305
30mW_5mM,full_power_Lshape,boundary_N1,696,,,,,,,,,,,,,0.808009236930201,0.7046009401375641,401,0.568988259416169,0.4115282786333056,195,0.7272011430078045,0.6671404321490197,110,0.9945522984489799
30mW_5mM,full_power_Lshape,interior_N2,21497,4.194453069806588,4.686831133147135,5.323122982540617,8.234163183379549,9.435587957448556,12.238379131157762,0.22126210456715478,-0.22639621240054275,-0.3742709746982893,0.6336691480075345,1.0816955063772298,2.7560317829150307,0.0335403188992219,0.022601753259604153,401,0.04640738871645691,0.03890237718436909,195,0.05583493593191618,0.049723364056800536,110,0.09937716015872078
30mW_5mM,full_power_Lshape,boundary_N2,1384,10.408287194698097,13.230330751433458,,,,,6.435096229458663,8.317103405885781,,,,,0.6225218166331733,0.5381803116257645,401,0.5629142637635542,0.40782747904756095,195,0.721328541516473,0.6624810473635974,110,0.9591367391944341
30mW_5mM,full_power_Lshape,interior_N4,20145,4.180266912903648,4.636220438124998,5.214241055106306,7.9497628411155254,9.127766271590954,11.862536625178535,0.20707594766421478,-0.2770069074226793,-0.4831529021326011,0.3492688057435114,0.7738738205196274,2.3801892769358037,0.0386568289628686,0.023186222518446428,401,0.05445340315786183,0.04156391395355857,195,0.06768371442743755,0.054787571137827805,110,0.131451075163451
30mW_5mM,full_power_Lshape,boundary_N4,2736,6.151744895580178,7.848499434021339,10.507121047308258,,,,2.1785539303407444,2.9352720884736616,4.809727090069352,,,,0.37666416688635757,0.3244033171896768,401,0.39548127563964014,0.29908234109227355,195,0.5124837406124186,0.4875395536407998,110,0.6309436756498084
30mW_5mM,closed_loop_MPC_native_replay,full_target,22881,4.423723215377674,5.043471151480746,5.768376147167349,8.790303794829025,10.01456262467637,12.871050919982883,0.4505322501382403,0.13024380593306883,0.07098218992844263,1.1898097594570114,1.6606701736050447,3.3887035717401517,0.04258418362568951,0.028939537868777076,401,0.0584275087710105,0.048658400004834915,195,0.07261399598877916,0.06621135799137631,110,0.13906468110689013
30mW_5mM,closed_loop_MPC_native_replay,interior_N1,22185,4.416549248214326,5.014515278409842,5.707828074663091,8.560616826322367,9.760539652159439,12.53917846216602,0.44335828297489277,0.10128793286216453,0.010434117424184208,0.9601227909503525,1.4066472010881128,3.0568311139232893,0.036236070922671525,0.02405363580077767,401,0.04969347651535838,0.04044739112163414,195,0.060326926023144906,0.05203537693890245,110,0.13899001255230098
30mW_5mM,closed_loop_MPC_native_replay,boundary_N1,696,7.499630490340396,8.108046069822082,8.773967661223569,12.00885132829637,13.462978746300779,,3.526439525100962,3.1948187242744046,3.0765737039846623,4.4083572929243555,5.109086295229453,,0.3030182968094016,0.18467779293455203,401,0.4228070492747167,0.31038444904454776,195,0.558121131552303,0.5180709720955939,110,0.8222996119221183
30mW_5mM,closed_loop_MPC_native_replay,interior_N2,21497,4.4094577423563015,4.984651502548888,5.649988970011157,8.42836747197092,9.620268956711561,12.398067872383661,0.436266777116868,0.07142415700121063,-0.04740498722774955,0.8278734365989067,1.2663765056402347,2.91572052414093,0.032787633869493744,0.021526863874399952,401,0.04488800990323312,0.035960893403073256,195,0.05340326706520971,0.044276204913838754,110,0.13891145013802736
30mW_5mM,closed_loop_MPC_native_replay,boundary_N2,1384,6.85655215602366,7.643635246439523,8.335729374782337,11.424607762557079,12.75724991761992,17.27473047149894,2.883361190784227,2.730407900891845,2.6383354175434306,3.8241137271850647,4.403357466548593,7.79238312325621,0.26243911464481734,0.15726902667019999,401,0.3684958435579279,0.27301089477931473,195,0.486990351190049,0.45501048005896444,110,0.6933636123834143
30mW_5mM,closed_loop_MPC_native_replay,interior_N4,20145,4.395616985281472,4.924110319994344,5.565464341061084,8.327159590343221,9.519937278204175,12.302779590129653,0.42242602004203844,0.010882974446666083,-0.13192961617782295,0.7266655549712073,1.1660448271328487,2.8204322418869214,0.031041775554135773,0.020687960091423197,401,0.042507688032147974,0.034689280741131576,195,0.04994446080839536,0.04215202029559466,110,0.1387414318469265
30mW_5mM,closed_loop_MPC_native_replay,boundary_N4,2736,5.8044057231914445,6.77175239758227,7.63669245119207,10.661155868460922,11.950031905810452,15.25581847338037,1.831214757952011,1.8585250520345928,1.9392984939531637,3.0606618330889077,3.5961394547391254,5.773471125137638,0.19129855015394873,0.11586449673751321,401,0.26949254305013326,0.20532662015301092,195,0.35605928481597543,0.33875711295697014,110,0.4797524095061648
